student_name,student_id,education_qualification,skills,certifications,projects,job_role,salary_expectation,experience_years,location_preference,skill_count,primary_skill,degree_level
Ravi Singh,S196,MBA,"Marketing, Sales",Data Science with R,E-commerce Website,Business Analyst,900000.0,3,Ahmedabad,2.0,Marketing,Masters
Sneha Patel,S080,B.Com,"Python, Excel",Java Foundations,E-commerce Website,Web Developer,450000.0,2,Chennai,2.0,Python,Bachelors
Ankit Mehta,S481,B.Tech ECE,,Google Data Analytics,Library Management,Business Analyst,450000.0,0,Mumbai,,,Bachelors
Rahul Verma,S110,B.Com,"Python, Excel",AI Certification,AI Chatbot,Data Scientist,450000.0,2,Pune,2.0,Python,Bachelors
Neha Gupta,S281,B.Tech ECE,"Management, Excel",Excel Basics,Student Portal,AI Engineer,400000.0,4,Delhi,2.0,Management,Bachelors
Meena Rani,S223,BCA,"Marketing, Sales",,Customer Retention,Data Scientist,600000.0,4,,2.0,Marketing,Bachelors
Rahul Verma,S085,BBA,"Marketing, Sales",,Customer Retention,Data Scientist,500000.0,3,Mumbai,2.0,Marketing,Other
Ankit Mehta,S369,B.Com,"Python, Excel",Java Foundations,HR Automation,Full Stack Developer,400000.0,4,Ahmedabad,2.0,Python,Bachelors
Rahul Verma,S133,B.Tech CSE,"C++, HTML, CSS",,Market Analysis,Data Scientist,400000.0,1,Ahmedabad,3.0,C++,Bachelors
Arjun Rao,S365,MCA,"Data Analytics, Power BI",Azure Fundamentals,Sales Forecasting,Software Developer,350000.0,2,Remote,2.0,Data Analytics,Masters
Amit Kumar,S185,M.Tech AI,"Java, Spring",Java Foundations,Student Portal,Full Stack Developer,350000.0,4,Bangalore,2.0,Java,Masters
Arjun Rao,S011,M.Tech AI,"Python, ML, SQL",Excel Basics,Library Management,Full Stack Developer,500000.0,4,Bangalore,3.0,Python,Masters
Arjun Rao,S074,MBA,"Python, ML, SQL",AWS Cloud Practitioner,Sales Forecasting,Marketing Executive,550000.0,1,Jaipur,3.0,Python,Masters
Ankit Mehta,S221,MBA,,AI Certification,Market Analysis,AI Engineer,800000.0,1,Delhi,,,Masters
Neha Gupta,S279,B.Tech CSE,,Google Data Analytics,HR Automation,Full Stack Developer,550000.0,0,Hyderabad,,,Bachelors
Ravi Singh,S083,M.Sc Data Science,"React, Node.js",,Student Portal,Full Stack Developer,350000.0,2,,2.0,React,Masters
Amit Kumar,S383,B.Sc IT,"Cloud, DevOps",Excel Basics,Customer Retention,Business Analyst,900000.0,1,Hyderabad,2.0,Cloud,Bachelors
Amit Kumar,S007,B.Com,"AI, ML, Python",Digital Marketing,Customer Retention,Software Developer,700000.0,1,Bangalore,3.0,Ai,Bachelors
Rahul Verma,S219,B.Tech CSE,"C++, HTML, CSS",Python for Everyone,Library Management,Software Developer,350000.0,0,Hyderabad,3.0,C++,Bachelors
Priya Sharma,S449,BBA,"Python, ML, SQL",,Customer Retention,Web Developer,900000.0,2,Delhi,3.0,Python,Other
Priya Sharma,S397,MCA,"Java, Spring",Java Foundations,Web Scraper,Data Scientist,600000.0,1,Delhi,2.0,Java,Masters
Meena Rani,S168,B.Sc IT,"Data Analytics, Power BI",Python for Everyone,E-commerce Website,Web Developer,700000.0,4,Kolkata,2.0,Data Analytics,Bachelors
Kiran Das,S469,,"C++, HTML, CSS",,Data Dashboard,Marketing Executive,550000.0,3,Bangalore,3.0,C++,
Ravi Singh,S173,M.Sc Data Science,"Marketing, Sales",Data Science with R,Library Management,Full Stack Developer,400000.0,0,Delhi,2.0,Marketing,Masters
Meena Rani,S082,BCA,"Python, Excel",Java Foundations,Customer Retention,Data Analyst,350000.0,1,Ahmedabad,2.0,Python,Bachelors
Ravi Singh,S186,M.Tech AI,"Python, Excel",AI Certification,Web Scraper,AI Engineer,800000.0,0,Jaipur,2.0,Python,Masters
Arjun Rao,S290,B.Tech ECE,"C++, HTML, CSS",,Sales Forecasting,Web Developer,800000.0,3,Mumbai,3.0,C++,Bachelors
Meena Rani,S378,MCA,"AI, ML, Python",AWS Cloud Practitioner,E-commerce Website,Software Developer,450000.0,2,Pune,3.0,Ai,Masters
Rahul Verma,S125,MBA,"Marketing, Sales",Leadership Basics,Library Management,Data Scientist,400000.0,0,Delhi,2.0,Marketing,Masters
Priya Sharma,S251,M.Sc Data Science,"Management, Excel",Data Science with R,Data Dashboard,Cloud Engineer,450000.0,3,Jaipur,2.0,Management,Masters
Amit Kumar,S482,MBA,"Management, Excel",AWS Cloud Practitioner,E-commerce Website,HR Analyst,350000.0,3,Ahmedabad,2.0,Management,Masters
Ravi Singh,S329,MBA,"React, Node.js",Leadership Basics,Market Analysis,Business Analyst,600000.0,1,Hyderabad,2.0,React,Masters
Priya Sharma,S073,MCA,"C++, HTML, CSS",Digital Marketing,Library Management,AI Engineer,600000.0,1,Remote,3.0,C++,Masters
Amit Kumar,S149,B.Com,"Python, ML, SQL",Java Foundations,Customer Retention,AI Engineer,600000.0,2,Kolkata,3.0,Python,Bachelors
Neha Gupta,S077,B.Com,"Management, Excel",Google Data Analytics,Data Dashboard,Data Scientist,700000.0,1,Chennai,2.0,Management,Bachelors
Ankit Mehta,S003,B.Sc IT,"AI, ML, Python",Leadership Basics,AI Chatbot,Marketing Executive,500000.0,2,Chennai,3.0,Ai,Bachelors
Amit Kumar,S166,BCA,"Python, Excel",,Customer Retention,Cloud Engineer,550000.0,3,Ahmedabad,2.0,Python,Bachelors
Sneha Patel,S417,MCA,"Marketing, Sales",Leadership Basics,Customer Retention,Web Developer,400000.0,2,Kolkata,2.0,Marketing,Masters
Ankit Mehta,S429,B.Tech CSE,"Management, Excel",Java Foundations,HR Automation,HR Analyst,800000.0,0,Kolkata,2.0,Management,Bachelors
Amit Kumar,S200,BBA,"Management, Excel",Java Foundations,HR Automation,Cloud Engineer,400000.0,2,Pune,2.0,Management,Other
Amit Kumar,S210,B.Com,"Python, Excel",Azure Fundamentals,Library Management,AI Engineer,600000.0,0,Ahmedabad,2.0,Python,Bachelors
Ravi Singh,S355,BBA,"AI, ML, Python",Excel Basics,Web Scraper,Cloud Engineer,500000.0,2,Chennai,3.0,Ai,Other
Sneha Patel,S078,M.Tech AI,"Cloud, DevOps",AWS Cloud Practitioner,Student Portal,Business Analyst,400000.0,0,Mumbai,2.0,Cloud,Masters
Ankit Mehta,S154,MBA,"Python, Excel",Google Data Analytics,Student Portal,Business Analyst,400000.0,3,Kolkata,2.0,Python,Masters
Rahul Verma,S387,BBA,"Python, ML, SQL",Python for Everyone,Library Management,Marketing Executive,550000.0,2,Delhi,3.0,Python,Other
Rahul Verma,S492,B.Tech CSE,"Management, Excel",,Library Management,HR Analyst,550000.0,4,Ahmedabad,2.0,Management,Bachelors
Meena Rani,S069,B.Tech ECE,"AI, ML, Python",Digital Marketing,Web Scraper,HR Analyst,900000.0,3,Chennai,3.0,Ai,Bachelors
Ravi Singh,S407,MCA,"Cloud, DevOps",Excel Basics,HR Automation,Data Analyst,350000.0,2,Mumbai,2.0,Cloud,Masters
Priya Sharma,S395,M.Sc Data Science,"C++, HTML, CSS",,Sales Forecasting,Cloud Engineer,400000.0,4,Mumbai,3.0,C++,Masters
Ankit Mehta,S071,B.Tech CSE,"React, Node.js",Excel Basics,Web Scraper,Marketing Executive,800000.0,4,Chennai,2.0,React,Bachelors
Meena Rani,S211,,,Azure Fundamentals,Web Scraper,Software Developer,600000.0,2,Kolkata,,,
Meena Rani,S371,M.Tech AI,"Data Analytics, Power BI",,Customer Retention,Marketing Executive,550000.0,2,Jaipur,2.0,Data Analytics,Masters
Ravi Singh,S320,M.Sc Data Science,"React, Node.js",Data Science with R,Library Management,Business Analyst,350000.0,2,Pune,2.0,React,Masters
Ravi Singh,S056,MCA,"Marketing, Sales",AWS Cloud Practitioner,Market Analysis,Marketing Executive,500000.0,2,Pune,2.0,Marketing,Masters
Kiran Das,S131,B.Sc IT,"Management, Excel",AI Certification,,AI Engineer,700000.0,4,Remote,2.0,Management,Bachelors
Neha Gupta,S004,M.Sc Data Science,"Python, ML, SQL",AWS Cloud Practitioner,Sales Forecasting,Marketing Executive,900000.0,1,,3.0,Python,Masters
Kiran Das,S087,BCA,"Marketing, Sales",Azure Fundamentals,Web Scraper,Web Developer,450000.0,2,Pune,2.0,Marketing,Bachelors
Meena Rani,S454,MCA,,Excel Basics,E-commerce Website,Software Developer,600000.0,0,Kolkata,,,Masters
Ankit Mehta,S403,B.Com,"Java, Spring",AWS Cloud Practitioner,Web Scraper,Data Scientist,400000.0,0,Chennai,2.0,Java,Bachelors
Rahul Verma,S239,M.Sc Data Science,"React, Node.js",Java Foundations,Data Dashboard,Cloud Engineer,600000.0,4,Chennai,2.0,React,Masters
Ankit Mehta,S031,B.Sc IT,"Marketing, Sales",Digital Marketing,Web Scraper,Data Scientist,600000.0,2,Ahmedabad,2.0,Marketing,Bachelors
Priya Sharma,S178,BBA,"React, Node.js",,AI Chatbot,Business Analyst,700000.0,1,Hyderabad,2.0,React,Other
